question,facts,results,precision,recall
['Which comic characters are painted by Bill Finger?'],"['http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/ComicsCharacter,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['0.5'],['0.5']
['Was winston churchill the prime minister of Selwyn Lloyd?'],"['http://dbpedia.org/ontology/primeMinister,']",[' [        "http://dbpedia.org/ontology/primeMinister"    ]'],['1.0'],['1.0']
['Name some leaders of the parent organisation of the Gestapo?'],"['http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/leader,']","[' [        ""http://dbpedia.org/ontology/parentOrganisation"",         ""http://dbpedia.org/ontology/leader""    ]']",['1.0'],['1.0']
['Which party has come in power in Mumbai North?'],"['http://dbpedia.org/property/constituency,http://dbpedia.org/ontology/party,']",[],,
['Name the municipality of Roberto Clemente Bridge ?'],"['http://dbpedia.org/ontology/municipality,']",[' [        "http://dbpedia.org/ontology/municipality"    ]'],['1.0'],['1.0']
['In which monarch did Li Si succeed someone?'],"['http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/monarch,']","[' [        ""http://dbpedia.org/ontology/monarch"",         ""http://dbpedia.org/ontology/president""    ]']",['0.5'],['0.5']
['Which home town of PAvel Moroz is the death location of the Yakov Estrin ?'],"['http://dbpedia.org/property/hometown,http://dbpedia.org/ontology/deathPlace,']",[' [        "http://dbpedia.org/ontology/hometown"    ]'],['0.0'],['0.0']
"['Which company which assembles its cars in Broadmeadows, Victoria?']","['http://dbpedia.org/property/assembly,http://dbpedia.org/ontology/parentCompany,http://dbpedia.org/ontology/Automobile,']",[],,
['Which person designed the cars which has been designed by ASC Creative Services?'],"['http://dbpedia.org/ontology/designCompany,http://dbpedia.org/property/designer,http://dbpedia.org/ontology/Automobile,']",[' [        "http://dbpedia.org/ontology/designCompany"    ]'],['1.0'],['1.0']
['Name the scientist whose supervisor was Ernest Rutherford and had a doctoral students named Charles Drummond Ellis?'],"['http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/doctoralAdvisor"    ]'],['1.0'],['1.0']
['Where was the designer of REP Parasol born?'],"['http://dbpedia.org/ontology/designer,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/designer"    ]'],['1.0'],['1.0']
["What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher?"],"['http://dbpedia.org/property/affiliation,http://dbpedia.org/ontology/almaMater,']",[' [        "http://dbpedia.org/ontology/almaMater"    ]'],['1.0'],['1.0']
"['What is the hometown of Nader Guirat, where Josef Johansson was born too?']","['http://dbpedia.org/property/birthPlace,http://dbpedia.org/ontology/hometown,']",[' [        "http://dbpedia.org/ontology/hometown"    ]'],['1.0'],['1.0']
['How many shows does HBO have?'],"['http://dbpedia.org/ontology/company,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/developer"    ]'],['0.0'],['0.0']
['Is Nikolai Morozov the former coach of Stanislav Morozov?'],"['http://dbpedia.org/ontology/formerCoach,']",[' [        "http://dbpedia.org/ontology/formerCoach"    ]'],['1.0'],['1.0']
['Which share holder of outlook is also the content license of the MSX Basics ?'],"['http://dbpedia.org/property/license,http://dbpedia.org/property/owner,']",[],,
['On how many different grounds were seasons chaired by Ronaldo held?'],"['http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/ground,']",[' [        "http://dbpedia.org/ontology/chairman"    ]'],['1.0'],['1.0']
['Where was the battle fought where 2nd Foreign Infantry Regiment participated  ?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/territory,http://dbpedia.org/ontology/MilitaryConflict,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
['What is the operator of SR class 3Sub ?'],"['http://dbpedia.org/ontology/operator,']",[' [        "http://dbpedia.org/ontology/operator"    ]'],['1.0'],['1.0']
["Which band's  former member are Kevin Jonas and Joe Jonas?"],"['http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/property/pastMembers,http://dbpedia.org/ontology/Band,']",[' [        "http://dbpedia.org/property/occupation"    ]'],['0.0'],['0.0']
['Name the tenants of O.co Coliseum ?'],"['http://dbpedia.org/ontology/tenant,']",[],,
['which politician is currently ruling over Rishikesh?'],"['http://dbpedia.org/ontology/leaderName,']",[' [        "http://dbpedia.org/ontology/region"    ]'],['0.5'],['1.0']
['Is north america one of the destinations of airtours airways?'],"['http://dbpedia.org/ontology/destination,']",[' [        "http://dbpedia.org/ontology/destination"    ]'],['1.0'],['1.0']
['Who have done their PhDs under a National Medal of Science winner?'],"['http://dbpedia.org/property/prizes,http://dbpedia.org/property/doctoralAdvisor,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
['Name the mascot of the military branch of William Harper.'],"['http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/property/mascot,']",[' [        "http://dbpedia.org/ontology/militaryBranch"    ]'],['1.0'],['1.0']
['Was Kevin Jonas a part of Jonas brothers?'],"['http://dbpedia.org/ontology/formerBandMember,']",[' [        "http://dbpedia.org/ontology/associatedMusicalArtist"    ]'],['0.0'],['0.0']
"[""What was the book that lead to Sagan's Cosmos, about?""]","['http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/property/subject,http://dbpedia.org/ontology/Book,']",[' [        "http://dbpedia.org/ontology/previousWork"    ]'],['0.0'],['0.0']
"['Which kind of conventions are held in Rosemont, Illinois?']","['http://dbpedia.org/ontology/location,http://dbpedia.org/property/genre,http://dbpedia.org/ontology/Convention,']",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.5'],['1.0']
['What are the type of Greenup County High School?'],"['http://dbpedia.org/property/type,']",[],,
['List the teams for which Bobby Hoppe played ?'],"['http://dbpedia.org/property/pastteams,']",[],,
['What are some famous works of the writer of The Second Coming?'],"['http://dbpedia.org/property/writer,http://dbpedia.org/property/notableworks,']",[],,
['How many books have been penned by Miguel de Cervantes?'],"['http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
['Which labels signs up progressive rock bands?'],"['http://dbpedia.org/property/genre,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/ontology/MusicalArtist,']",[' [        "http://dbpedia.org/ontology/soundRecording"    ]'],['0.0'],['0.0']
"['What are the schools whose city is Reading, Berkshire?']","['http://dbpedia.org/ontology/city,']",[' [        "http://dbpedia.org/property/city"    ]'],['0.5'],['1.0']
["Which magazine's editor is married to Crystal Harris?"],"['http://dbpedia.org/property/spouse,http://dbpedia.org/property/editor,http://dbpedia.org/ontology/Magazine,']",[],,
['Does the west thurrock come under Essex county?'],"['http://dbpedia.org/ontology/ceremonialCounty,']",[' [        "http://dbpedia.org/property/county"    ]'],['0.0'],['0.0']
['How many people have headed organizations headquartered at Niederkirchnerstrae?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,']",[],,
['In which television shows have Steven Moffat served as an executive producer?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0']
['Which shareholder of Dagenham wind turbines is also the parent company of the Ford Falcon Cobra?'],"['http://dbpedia.org/ontology/parentCompany,http://dbpedia.org/property/owner,']",[' [        "http://dbpedia.org/ontology/parentCompany"    ]'],['1.0'],['1.0']
['What are the airlines whose hub is San Francisco International Airport?'],"['http://dbpedia.org/property/hubs,http://dbpedia.org/ontology/Airline,']",[],,
['Where can I find things run by the maritime museum of San Diego?'],"['http://dbpedia.org/property/governingBody,http://dbpedia.org/property/location,']",[],,
"['What is the local authority of the Trinity School, Brentwood and place of birth of the Sarah Walker (badminton) ?']","['http://dbpedia.org/ontology/localAuthority,http://dbpedia.org/property/placeOfBirth,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['How many services does 21Vianet provide?'],"['http://dbpedia.org/property/services,']",[],,
['where did the office holder died  who is successor to Elmer Burkett ?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/property/deathPlace,http://dbpedia.org/ontology/OfficeHolder,']",[],,
"['Name the team for which Hensley Meulens played, whihc was also the debut team od Steve Ontiveros ?']","['http://dbpedia.org/property/debutteam,http://dbpedia.org/ontology/team,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
['List the actors of  Lucy Sullivan Is Getting Married?'],"['http://dbpedia.org/property/starring,']",[],,
['Name the island with archipelago as Society Islands and has the largest city named Faaa ?'],"['http://dbpedia.org/ontology/largestCity,http://dbpedia.org/property/archipelago,http://dbpedia.org/ontology/Island,']","[' [        ""http://dbpedia.org/property/city"",         ""http://dbpedia.org/property/archipelago""    ]']",['0.5'],['0.5']
['Who appointed the governor under whom Richard Winn served?'],"['http://dbpedia.org/ontology/governor,http://dbpedia.org/property/appointer,']",[' [        "http://dbpedia.org/ontology/governor"    ]'],['1.0'],['1.0']
