ID,question,facts,results,precision,recall
0,['When was the Battle of Gettysburg?'],["['http://dbpedia.org/ontology/date']"],[],,
1,['List all the musicals with music by Elton John.'],["['http://dbpedia.org/ontology/musicBy']"],[' [        "http://dbpedia.org/property/music"    ]'],['0.0'],['0.0']
2,['How high is the lighthouse in Colombo?'],["['http://dbpedia.org/ontology/height']"],[' [        "http://dbpedia.org/ontology/highestPoint"    ]'],['0.0'],['0.0']
3,['Who was the wife of U.S. president Lincoln?'],["['http://dbpedia.org/ontology/spouse']"],[' [        "http://dbpedia.org/ontology/president"    ]'],['0.0'],['0.0']
4,['Who is the host of the BBC Wildlife Specials?'],["['http://dbpedia.org/ontology/presenter']"],[' [        "http://dbpedia.org/ontology/company"    ]'],['0.0'],['0.0']
5,['How much did Pulp Fiction cost?'],["['http://dbpedia.org/ontology/budget']"],[' [        "http://dbpedia.org/property/country"    ]'],['0.0'],['0.0']
6,['In what city is the Heineken brewery?'],"[""['http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/ontology/locationCity']""]",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
7,['When did Operation Overlord commence?'],["['http://dbpedia.org/ontology/date']"],[' [        "http://dbpedia.org/ontology/date"    ]'],['1.0'],['1.0']
8,['In which city does the Chile Route 68 end?'],["['http://dbpedia.org/ontology/routeEnd']"],[' [        "http://dbpedia.org/ontology/routeEnd"    ]'],['1.0'],['1.0']
9,['Who developed Slack?'],["['http://dbpedia.org/ontology/product']"],[' [        "http://dbpedia.org/ontology/developer"    ]'],['0.0'],['0.0']
10,['Who was married to president Chirac?'],["['http://dbpedia.org/ontology/spouse']"],[' [        "http://dbpedia.org/ontology/president"    ]'],['0.0'],['0.0']
11,['What did Bruce Carver die from?'],["['http://dbpedia.org/ontology/deathCause']"],[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.0'],['0.0']
12,['Who painted The Storm on the Sea of Galilee?'],["['http://dbpedia.org/property/artist']"],[],,
13,['Which cities does the Weser flow through?'],["['http://dbpedia.org/ontology/city']"],[' [        "http://dbpedia.org/ontology/city"    ]'],['1.0'],['1.0']
14,['How many seats does the home stadium of FC Porto have?'],"[""['http://dbpedia.org/ontology/ground', 'http://dbpedia.org/ontology/seatingCapacity']""]",[' [        "http://dbpedia.org/property/date"    ]'],['0.0'],['0.0']
15,['Who is the daughter of Robert Kennedy married to?'],"[""['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/spouse']""]","[' [        ""http://dbpedia.org/ontology/child"",         ""http://dbpedia.org/ontology/wikiPageExternalLink""    ]']",['0.5'],['0.5']
16,['Which books by Kerouac were published by Viking Press?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/publisher', 'http://dbpedia.org/ontology/author']""]","[' [        ""http://dbpedia.org/ontology/author"",         ""http://dbpedia.org/property/allWriting""    ]']",['0.5'],['0.5']
17,['How tall is Amazon Eve?'],["['http://dbpedia.org/ontology/height']"],[' [        "http://dbpedia.org/ontology/shoeSize"    ]'],['0.0'],['0.0']
18,['Which museum exhibits The Scream by Munch?'],["['http://dbpedia.org/ontology/museum']"],[' [        "http://dbpedia.org/ontology/museum"    ]'],['1.0'],['1.0']
19,['Who wrote the book Les Piliers de la terre?'],["['http://dbpedia.org/ontology/author']"],[' [        "http://dbpedia.org/ontology/author"    ]'],['1.0'],['1.0']
20,['Is James Bond married?'],["['http://dbpedia.org/ontology/spouse']"],[],,
21,['Who discovered Ceres?'],["['http://dbpedia.org/ontology/discoverer']"],[' [        "http://dbpedia.org/ontology/discoverer"    ]'],['1.0'],['1.0']
22,['Which river does the Brooklyn Bridge cross?'],["['http://dbpedia.org/ontology/crosses']"],[' [        "http://dbpedia.org/ontology/crosses"    ]'],['1.0'],['1.0']
24,['What is the largest country in the world?'],["['http://dbpedia.org/ontology/areaTotal']"],[],,
25,['Who is the mayor of Paris?'],["['http://dbpedia.org/ontology/mayor']"],[' [        "http://dbpedia.org/ontology/mayor"    ]'],['1.0'],['1.0']
26,["Who is the coach of Ankara's ice hockey team?"],"[""['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/league', 'http://dbpedia.org/ontology/coach']""]","[' [        ""http://dbpedia.org/ontology/managerSeason"",         ""http://dbpedia.org/property/hqLocationCity""    ]']",['0.0'],['0.0']
27,['Who is the mayor of the capital of French Polynesia?'],"[""['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/mayor']""]",[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
28,['Which awards did Douglas Hofstadter win?'],["['http://dbpedia.org/ontology/award']"],[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
29,['How much did the Lego Movie cost?'],["['http://dbpedia.org/ontology/budget']"],[' [        "http://dbpedia.org/ontology/movie"    ]'],['0.0'],['0.0']
30,['Where does Piccadilly start?'],["['http://dbpedia.org/ontology/routeStart']"],[],,
31,['Do Prince Harry and Prince William have the same parents?'],"[""['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/ontology/parent']""]","[' [        ""http://dbpedia.org/ontology/parent"",         ""http://dbpedia.org/property/date""    ]']",['1.0'],['1.0']
32,['Who played Agent Smith in Matrix?'],["['http://dbpedia.org/property/portrayer']"],[],,
33,['How many languages are spoken in Turkmenistan?'],["['http://dbpedia.org/ontology/language']"],[' [        "http://dbpedia.org/ontology/locationCountry"    ]'],['0.5'],['1.0']
34,['In which films did Julia Roberts as well as Richard Gere play?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/starring']""]","[' [        ""http://dbpedia.org/ontology/academicDiscipline"",         ""http://dbpedia.org/property/field""    ]']",['0.0'],['0.0']
35,['In which country does the Ganges start?'],["['http://dbpedia.org/ontology/sourceCountry']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
36,['In which year was Rachel Stevens born?'],["['http://dbpedia.org/ontology/birthYear']"],[' [        "http://dbpedia.org/ontology/birthName"    ]'],['0.0'],['0.0']
37,['Is Barack Obama a democrat?'],["['http://dbpedia.org/ontology/party']"],[' [        "http://dbpedia.org/ontology/leader"    ]'],['0.0'],['0.0']
38,['Where was Bach born?'],["['http://dbpedia.org/ontology/birthPlace']"],[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0']
39,['How often did Jane Fonda marry?'],["['http://dbpedia.org/ontology/spouse']"],[' [        "http://dbpedia.org/ontology/spouse"    ]'],['1.0'],['1.0']
40,['Who was the first to climb Mount Everest?'],["['http://dbpedia.org/ontology/firstAscentPerson']"],[' [        "http://dbpedia.org/ontology/firstAscentYear"    ]'],['0.0'],['0.0']
41,['How many people live in Poland?'],["['http://dbpedia.org/ontology/populationTotal']"],[' [        "http://dbpedia.org/ontology/land"    ]'],['0.0'],['0.0']
42,['What is the location of the Houses of Parliament?'],["['http://dbpedia.org/ontology/location']"],[' [        "http://dbpedia.org/property/location"    ]'],['0.5'],['1.0']
43,['Is Christian Bale starring in Batman Begins?'],["['http://dbpedia.org/ontology/starring']"],[' [        "http://dbpedia.org/ontology/starring"    ]'],['1.0'],['1.0']
44,['In which country is the Limerick Lake?'],["['http://dbpedia.org/ontology/country']"],[' [        "http://dbpedia.org/ontology/lake"    ]'],['0.5'],['1.0']
45,['What was the last movie with Alec Guinness?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/releaseDate']""]",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.0'],['0.0']
46,['What is the highest mountain in Australia?'],"[""['http://dbpedia.org/ontology/locatedInArea', 'http://dbpedia.org/ontology/elevation']""]",[' [        "http://dbpedia.org/property/countryTs"    ]'],['0.0'],['0.0']
47,['Is Frank Herbert still alive?'],[],[],,
48,['Who created Family Guy?'],["['http://dbpedia.org/ontology/creator']"],[' [        "http://xmlns.com/foaf/0.1/name"    ]'],['0.0'],['0.0']
49,['What is the official language of Suriname?'],["['http://dbpedia.org/ontology/officialLanguage']"],[' [        "http://dbpedia.org/property/locationCountry"    ]'],['0.0'],['0.0']
50,['Who wrote the song Hotel California?'],["['http://dbpedia.org/ontology/writer']"],[' [        "http://dbpedia.org/ontology/album"    ]'],['0.0'],['0.0']
51,['Give me all actors starring in movies directed by William Shatner.'],"[""['http://dbpedia.org/ontology/director', 'http://dbpedia.org/ontology/starring']""]","[' [        ""http://dbpedia.org/ontology/starring"",         ""http://dbpedia.org/property/actor""    ]']",['0.5'],['0.5']
52,['What is in a chocolate chip cookie?'],["['http://dbpedia.org/ontology/ingredient']"],[' [        "http://dbpedia.org/ontology/ingredientName"    ]'],['0.0'],['0.0']
53,['Give me all professional skateboarders from Sweden.'],[],[],,
54,['Which ingredients do I need for carrot cake?'],["['http://dbpedia.org/ontology/ingredient']"],[' [        "http://dbpedia.org/ontology/ingredientName"    ]'],['0.0'],['0.0']
55,['Does Neymar play for Real Madrid?'],["['http://dbpedia.org/ontology/team']"],[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
56,['Which computer scientist won an oscar?'],[],[],,
57,['How many companies were founded in the same year as Google?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/foundingYear', 'http://dbpedia.org/ontology/foundingYear']""]",[],,
58,['In which UK city are the headquarters of the MI6?'],"[""['http://dbpedia.org/ontology/headquarter', 'http://dbpedia.org/ontology/country']""]","[' [        ""http://dbpedia.org/ontology/city"",         ""http://dbpedia.org/ontology/headquarter""    ]']",['0.5'],['0.5']
59,['Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?'],[],[],,
61,['When did the Ming dynasty dissolve?'],["['http://dbpedia.org/ontology/dissolutionDate']"],[' [        "http://dbpedia.org/ontology/dissolutionDate"    ]'],['1.0'],['1.0']
62,['List all episodes of the first season of the HBO television series The Sopranos!'],"[""['http://dbpedia.org/ontology/series', 'http://dbpedia.org/ontology/seasonNumber']""]",[' [        "http://dbpedia.org/ontology/series"    ]'],['1.0'],['1.0']
63,"['What is the total population of Melbourne, Florida?']",["['http://dbpedia.org/ontology/populationTotal']"],[' [        "http://dbpedia.org/ontology/population"    ]'],['0.0'],['0.0']
64,['Did Arnold Schwarzenegger attend a university?'],["['http://dbpedia.org/ontology/almaMater']"],[' [        "http://dbpedia.org/property/votes"    ]'],['0.5'],['1.0']
65,['What country is Mount Everest in?'],["['http://dbpedia.org/ontology/locatedInArea']"],[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
66,['What is the largest city in Australia?'],["['http://dbpedia.org/ontology/largestCity']"],[' [        "http://dbpedia.org/ontology/city"    ]'],['0.0'],['0.0']
67,['Give me all launch pads operated by NASA.'],["['http://dbpedia.org/ontology/operator']"],[' [        "http://dbpedia.org/property/agency1Up"    ]'],['0.0'],['0.0']
68,['Who is the mayor of Tel Aviv?'],["['http://dbpedia.org/ontology/leaderName']"],[' [        "http://dbpedia.org/ontology/delegateMayor"    ]'],['0.0'],['0.0']
69,['List all episodes of the first season of the HBO television series The Sopranos.'],"[""['http://dbpedia.org/ontology/series', 'http://dbpedia.org/ontology/seasonNumber']""]",[' [        "http://dbpedia.org/ontology/series"    ]'],['1.0'],['1.0']
70,['Who created Batman?'],["['http://dbpedia.org/ontology/creator']"],[' [        "http://dbpedia.org/ontology/creator"    ]'],['1.0'],['1.0']
71,['Who played Gus Fring in Breaking Bad?'],["['http://dbpedia.org/ontology/portrayer']"],[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.0'],['0.0']
