ID,question,facts,results,precision,recall,F-score,,,
15000,['Give me all cosmonauts.'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/nationality', 'http://dbpedia.org/ontology/nationality']""]",[' [        "http://dbpedia.org/ontology/countryWithFirstAstronaut"    ]'],['0.0'],['0.0'],,,,
15001,['In which country does the Ganges start?'],["['http://dbpedia.org/ontology/sourceCountry']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0'],,,,
15002,['When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?'],[],[],,,,,,
15003,['Which German cities have more than 250000 inhabitants?'],[],[],,,,,,
15004,["Who was John F. Kennedy's vice president?"],["['http://dbpedia.org/ontology/vicePresident']"],[' [        "http://dbpedia.org/ontology/vicePresident"    ]'],['1.0'],['1.0'],,,,
15005,['Who is the mayor of Berlin?'],["['http://dbpedia.org/ontology/leader']"],[],,,,,,
15006,['How many students does the Free University in Amsterdam have?'],["['http://dbpedia.org/ontology/numberOfStudents']"],[],,,,,,
15007,['What is the second highest mountain on Earth?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/elevation']""]",[],,,,,,
15008,['Give me all professional skateboarders from Sweden.'],"[""['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']""]","[' [        ""http://dbpedia.org/property/sport"",         ""http://dbpedia.org/property/countryCode"",         ""http://xmlns.com/foaf/0.1/isPrimaryTopicOf""    ]']",['0.0'],['0.0'],,,,
15009,['When was Alberta admitted as province?'],["['http://dbpedia.org/property/admitancedate']"],[],,,,,,
15010,['To which countries does the Himalayan mountain system extend?'],["['http://dbpedia.org/property/country']"],[],,,,,,
15011,['Give me a list of all bandleaders that play trumpet.'],"[""['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/instrument']""]","[' [        ""http://dbpedia.org/ontology/leader"",         ""http://dbpedia.org/property/instrument""    ]']",['0.333333333333'],['0.5'],,,,
