ID,question,facts,results,precision,recall,F-score,,,
10000,['Which comic characters are painted by Bill Finger?'],"['http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/ComicsCharacter,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['0.5'],['0.5'],,,,
10001,['Was winston churchill the prime minister of Selwyn Lloyd?'],"['http://dbpedia.org/ontology/primeMinister,']",[' [        "http://dbpedia.org/ontology/primeMinister"    ]'],['1.0'],['1.0'],,,,
10002,['Name some leaders of the parent organisation of the Gestapo?'],"['http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/leader,']","[' [        ""http://dbpedia.org/ontology/parentOrganisation"",         ""http://dbpedia.org/ontology/leader""    ]']",['1.0'],['1.0'],,,,
10003,['Name the municipality of Roberto Clemente Bridge ?'],"['http://dbpedia.org/ontology/municipality,']",[' [        "http://dbpedia.org/ontology/municipality"    ]'],['1.0'],['1.0'],,,,
10004,['In which monarch did Li Si succeed someone?'],"['http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/monarch,']","[' [        ""http://dbpedia.org/ontology/monarch"",         ""http://dbpedia.org/ontology/president""    ]']",['0.5'],['0.5'],,,,
10005,['Where was the designer of REP Parasol born?'],"['http://dbpedia.org/ontology/designer,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/designer"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10007,['How many shows does HBO have?'],"['http://dbpedia.org/ontology/company,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/developer"    ]'],['0.0'],['0.0'],,,,
10008,['Is Nikolai Morozov the former coach of Stanislav Morozov?'],"['http://dbpedia.org/ontology/formerCoach,']",[' [        "http://dbpedia.org/ontology/formerCoach"    ]'],['1.0'],['1.0'],,,,
10009,['On how many different grounds were seasons chaired by Ronaldo held?'],"['http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/ground,']",[' [        "http://dbpedia.org/ontology/chairman"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10011,['What is the operator of SR class 3Sub ?'],"['http://dbpedia.org/ontology/operator,']",[' [        "http://dbpedia.org/ontology/operator"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
,,,,,,,,,
10014,['Is north america one of the destinations of airtours airways?'],"['http://dbpedia.org/ontology/destination,']",[' [        "http://dbpedia.org/ontology/destination"    ]'],['1.0'],['1.0'],,,,
,,,,,,,,,
10016,['Was Kevin Jonas a part of Jonas brothers?'],"['http://dbpedia.org/ontology/formerBandMember,']",[' [        "http://dbpedia.org/ontology/associatedMusicalArtist"    ]'],['0.0'],['0.0'],,,,
10017,"['Which kind of conventions are held in Rosemont, Illinois?']","['http://dbpedia.org/ontology/location,http://dbpedia.org/property/genre,http://dbpedia.org/ontology/Convention,']",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.5'],['1.0'],,,,
10018,['How many books have been penned by Miguel de Cervantes?'],"['http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0'],,,,
10019,"['What are the schools whose city is Reading, Berkshire?']","['http://dbpedia.org/ontology/city,']",[' [        "http://dbpedia.org/property/city"    ]'],['0.5'],['1.0'],,,,
10020,['Does the west thurrock come under Essex county?'],"['http://dbpedia.org/ontology/ceremonialCounty,']",[' [        "http://dbpedia.org/property/county"    ]'],['0.0'],['0.0'],,,,
10021,['How many people have headed organizations headquartered at Niederkirchnerstrae?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,']",[],,,,,,
10022,['In which television shows have Steven Moffat served as an executive producer?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0'],,,,
10023,['How many services does 21Vianet provide?'],"['http://dbpedia.org/property/services,']",[],,,,,,
10024,['What company involved in the development of Sherlock did Arthur Levinson work for?'],"['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/developer,']","[' [        ""http://dbpedia.org/ontology/birthPlace"",         ""http://dbpedia.org/ontology/almaMater""    ]']",['0.0'],['0.0'],,,,
10025,['What is the style of architecture of South Loop Printing House District ?'],"['http://dbpedia.org/ontology/architecturalStyle,']",[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.0'],['0.0'],,,,
10026,['Is Ombla originate in Croatia?'],"['http://dbpedia.org/ontology/sourceMountain,']",[' [        "http://dbpedia.org/ontology/routeStart"    ]'],['0.0'],['0.0'],,,,
10027,['Was Ganymede discovered by Galileo Galilei?'],"['http://dbpedia.org/property/discoverer,']",[],,,,,,
10028,["Who is the producer of the song which is the previous work of He's a Liar ?"],"['http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/Song,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/previousWork""    ]']",['1.0'],['1.0'],,,,
10029,['Who gave the voice for Allen Walker ?'],"['http://dbpedia.org/ontology/voice,']",[' [        "http://dbpedia.org/ontology/voice"    ]'],['1.0'],['1.0'],,,,
10030,['Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus?'],"['http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/associate,']",[' [        "http://dbpedia.org/ontology/associate"    ]'],['1.0'],['1.0'],,,,
10031,['Which country has given citizenship to both saima chowdhury and edmund john?'],"['http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/citizenship,']","[' [        ""http://dbpedia.org/ontology/citizenship"",         ""http://dbpedia.org/ontology/nationality""    ]']",['1.0'],['1.0'],,,,
10032,['Who is the person that first ascented the Cathedral Peak and Mount Hoffmann?'],"['http://dbpedia.org/ontology/firstAscentPerson,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0'],,,,
