,question,facts,results,precesion,recall
1,['Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ?'],"['http://dbpedia.org/property/mother,http://dbpedia.org/property/spouse,http://dbpedia.org/ontology/Royalty,']","[' [        ""http://dbpedia.org/property/mother"",         ""http://dbpedia.org/ontology/spouse""    ]']",['0.666666666667'],['1.0']
2,['What tv series can be said to be related to the sarah jane adventure and dr who confidential?'],"['http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/related,']",[' [        "http://dbpedia.org/ontology/related"    ]'],['1.0'],['1.0']
3,['What is the common genere of Abhijit Kunte and Kasparov ?'],"['http://dbpedia.org/property/knownFor,http://dbpedia.org/ontology/genre,']",[' [        "http://xmlns.com/foaf/0.1/gender"    ]'],['0.0'],['0.0']
4,['Which source country of SamurAbsheron channel is the birth place of Anar Salmanov ?'],"['http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/property/placeOfBirth,']",[],,
5,['Did Timm Gunn guest in Sunrise (HIMYM)?'],"['http://dbpedia.org/property/guests,']",[' [        "http://dbpedia.org/ontology/guest"    ]'],['0.0'],['0.0']
6,['Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10'],"['http://dbpedia.org/property/name,http://dbpedia.org/ontology/manager,']",[],,
7,"['How many tenats have been there, of the constructions of PCL constructures?']","['http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/tenant,']","[' [        ""http://dbpedia.org/property/projectManager"",         ""http://dbpedia.org/ontology/foundingYear""    ]']",['0.0'],['0.0']
8,['Which planet was discovered by Johann Gottfried and Urbain Le Verrier ?'],"['http://dbpedia.org/property/discoverer,http://dbpedia.org/ontology/Planet,']",[],,
9,['Who started at the pole position in both 1997 canadian grand prix and the 94 spanish one?'],"['http://dbpedia.org/property/poleDriver,']",[],,
10,['Which tenants of the Master Card center is also th draft team of Sam Carrick '],"['http://dbpedia.org/property/tenants,http://dbpedia.org/property/draftTeam,']",[' [        "http://dbpedia.org/property/tenants"    ]'],['1.0'],['1.0']
11,['Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?'],"['http://dbpedia.org/property/title,http://dbpedia.org/ontology/nationality,']","[' [        ""http://dbpedia.org/ontology/nationality"",         ""http://dbpedia.org/property/title""    ]']",['1.0'],['1.0']
12,['What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?'],"['http://dbpedia.org/property/starring,http://dbpedia.org/ontology/associatedMusicalArtist,']",[' [        "http://dbpedia.org/ontology/previousWork"    ]'],['0.0'],['0.0']
13,['How many things are crossed over by bridges which can carry cars?'],"['http://dbpedia.org/property/carries,http://dbpedia.org/property/crosses,']",[],,
14,['Is the chestnut white bellied rat a mammal?'],"['http://dbpedia.org/ontology/class,']",[' [        "http://dbpedia.org/ontology/dam"    ]'],['0.0'],['0.0']
15,['what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School?'],"['http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport,']","[' [        ""http://dbpedia.org/ontology/projectCoordinator"",         ""http://dbpedia.org/ontology/actScore""    ]']",['0.0'],['0.0']
16,['What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?'],"['http://dbpedia.org/ontology/canonizedBy,http://dbpedia.org/ontology/religion,']","[' [        ""http://dbpedia.org/ontology/canonizedBy"",         ""http://dbpedia.org/property/nationality""    ]']",['0.5'],['0.5']
17,['Count all that was built by a company whose leader is Kazuo Hirai?'],"['http://dbpedia.org/property/keyPeople,http://dbpedia.org/ontology/manufacturer,']",[],,
