15000,Give me all cosmonauts. ?
15001,In which country does the Ganges start ?
15002,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands ?
15003,Which German cities have more than 250000 inhabitants ?
15004,Who was John F. Kennedy's vice president ?
15005,Who is the mayor of Berlin ?
15006,How many students does the Free University in Amsterdam have ?
15007,What is the second highest mountain on Earth ?
15008,Give me all professional skateboarders from Sweden. ?
15009,When was Alberta admitted as province ?
15010,To which countries does the Himalayan mountain system extend ?
15011,Give me a list of all bandleaders that play trumpet. ?
15012,Which countries have more than ten caves ?
15013,What is the total amount of men and women serving in the FDNY ?
15014,Who produces Orangina ?
15015,Who is the Formula 1 race driver with the most races ?
15016,Give me all world heritage sites designated within the past two years. ?
15017,Who is the youngest player in the Premier League ?
15018,Give me all members of Prodigy. ?
15019,What is the longest river ?
15020,Does Breaking Bad have more episodes than Game of Thrones ?
15021,Give me all cars that are produced in Germany. ?
15022,What were the main discoveries of the Mars rover Curiosity ?
15023,Give me all people that were born in Vienna and died in Berlin. ?
15024,Is proinsulin a protein ?
15025,How tall is Michael Jordan ?
15026,What is the capital of Canada ?
15027,Who is the governor of Wyoming ?
15028,Do Prince Harry and Prince William have the same parents ?
15029,Who was the father of Queen Elizabeth II ?
15030,Which U.S. state has been admitted latest ?
15031,How many languages are spoken in Turkmenistan ?
15032,Sean Parnell is the governor of which U.S. state ?
15033,Give me all movies directed by Francis Ford Coppola. ?
15034,Give me all actors starring in movies directed by William Shatner. ?
15035,Are tree frogs a type of amphibian ?
15036,What is the birth name of Angela Merkel ?
15037,Give me all Methodist politicians. ?
15038,How often did Jane Fonda marry ?
15039,Give me all Australian nonprofit organizations. ?
15040,In which military conflicts did Lawrence of Arabia participate ?
15041,Who developed Minecraft ?
15042,What is the melting point of copper ?
15043,Give me all sister cities of Brno. ?
15044,How many inhabitants does Maribor have ?
15045,Give me all companies in Munich. ?
15046,How tall is Claudia Schiffer ?
15047,List all games by GMT. ?
15048,Who founded Intel ?
15049,Who is the husband of Amanda Palmer ?
15050,Give me all breeds of the German Shepherd dog. ?
15051,Which cities does the Weser flow through ?
15052,Which countries are connected by the Rhine ?
