0,,,[],,
1,['Give me all cosmonauts.'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/nationality', 'http://dbpedia.org/ontology/nationality']""]",[' [        "http://dbpedia.org/ontology/countryWithFirstAstronaut"    ]'],['0.0'],['0.0']
2,['In which country does the Ganges start?'],["['http://dbpedia.org/ontology/sourceCountry']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
3,['When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?'],[],[],,
4,['Which German cities have more than 250000 inhabitants?'],[],[],,
5,["Who was John F. Kennedy's vice president?"],["['http://dbpedia.org/ontology/vicePresident']"],[' [        "http://dbpedia.org/ontology/vicePresident"    ]'],['1.0'],['1.0']
6,['Who is the mayor of Berlin?'],["['http://dbpedia.org/ontology/leader']"],[],,
7,['How many students does the Free University in Amsterdam have?'],["['http://dbpedia.org/ontology/numberOfStudents']"],[],,
8,['What is the second highest mountain on Earth?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/elevation']""]",[],,
9,['Give me all professional skateboarders from Sweden.'],"[""['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']""]","[' [        ""http://dbpedia.org/property/sport"",         ""http://dbpedia.org/property/countryCode"",         ""http://xmlns.com/foaf/0.1/isPrimaryTopicOf""    ]']",['0.0'],['0.0']
10,['When was Alberta admitted as province?'],["['http://dbpedia.org/property/admitancedate']"],[],,
11,['To which countries does the Himalayan mountain system extend?'],["['http://dbpedia.org/property/country']"],[],,
12,['Give me a list of all bandleaders that play trumpet.'],"[""['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/instrument']""]","[' [        ""http://dbpedia.org/ontology/leader"",         ""http://dbpedia.org/property/instrument""    ]']",['0.333333333333'],['0.5']
13,['Which countries have more than ten caves?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/country']""]",[' [        "http://dbpedia.org/ontology/country"    ]'],['1.0'],['1.0']
14,['What is the total amount of men and women serving in the FDNY?'],["['http://dbpedia.org/property/employes']"],[],,
15,['Who produces Orangina?'],["['http://dbpedia.org/ontology/product']"],[],,
16,['Who is the Formula 1 race driver with the most races?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/races']""]",[],,
18,['Who is the youngest player in the Premier League?'],"[""['http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/league', 'http://dbpedia.org/ontology/birthDate']""]","[' [        ""http://dbpedia.org/ontology/league"",         ""http://dbpedia.org/property/league""    ]']",['0.666666666667'],['1.0']
19,['Give me all members of Prodigy.'],["['http://dbpedia.org/ontology/bandMember']"],[' [        "http://dbpedia.org/ontology/employer"    ]'],['0.0'],['0.0']
20,['What is the longest river?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/length', 'http://dbpedia.org/property/length']""]",[],,
21,['Does Breaking Bad have more episodes than Game of Thrones?'],[],[],,
22,['Give me all cars that are produced in Germany.'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/assembly', 'http://dbpedia.org/property/asembly', 'http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/property/manufacturer', 'http://dbpedia.org/ontology/locationCountry', 'http://dbpedia.org/ontology/location']""]","[' [        ""http://dbpedia.org/ontology/coach"",         ""http://dbpedia.org/property/locationCountries""    ]']",['0.0'],['0.0']
23,['What were the main discoveries of the Mars rover Curiosity?'],[],[],,
24,['Give me all people that were born in Vienna and died in Berlin.'],"[""['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/deathPlace']""]","[' [        ""http://dbpedia.org/property/hqLocationCity"",         ""http://dbpedia.org/ontology/predecessor""    ]']",['0.0'],['0.0']
25,['Is proinsulin a protein?'],["['http://www.w3.org/1999/02/22-rdf-syntax-ns#type']"],[],,
26,['How tall is Michael Jordan?'],["['http://dbpedia.org/ontology/height']"],[' [        "http://dbpedia.org/property/number"    ]'],['0.0'],['0.0']
27,['What is the capital of Canada?'],["['http://dbpedia.org/ontology/capital']"],[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
28,['Who is the governor of Wyoming?'],["['http://dbpedia.org/property/governor']"],[' [        "http://dbpedia.org/property/governor"    ]'],['1.0'],['1.0']
29,['Do Prince Harry and Prince William have the same parents?'],"[""['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/ontology/parent']""]",[],,
30,['Who was the father of Queen Elizabeth II?'],["['http://dbpedia.org/property/father']"],[],,
31,['Which U.S. state has been admitted latest?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/property/admitancedate']""]",[],,
32,['How many languages are spoken in Turkmenistan?'],["['http://dbpedia.org/ontology/language']"],[' [        "http://dbpedia.org/ontology/locationCountry"    ]'],['0.5'],['1.0']
33,['Sean Parnell is the governor of which U.S. state?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/property/governor']""]",[],,
34,['Give me all movies directed by Francis Ford Coppola.'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/director']""]",[' [        "http://dbpedia.org/ontology/director"    ]'],['1.0'],['1.0']
35,['Give me all actors starring in movies directed by William Shatner.'],"[""['http://dbpedia.org/ontology/director', 'http://dbpedia.org/ontology/starring']""]","[' [        ""http://dbpedia.org/ontology/starring"",         ""http://dbpedia.org/property/actor""    ]']",['0.5'],['0.5']
36,['Are tree frogs a type of amphibian?'],["['http://dbpedia.org/ontology/clas']"],[],,
